wavelength (m),absorption cross section (m2)
8.5000000000000000E-07,2.3154986066660500E-26
8.5100000000000000E-07,2.5055545955450000E-26
8.5200000000000000E-07,2.7006139792784600E-26
8.5300000000000000E-07,2.8868057120243800E-26
8.5400000000000000E-07,3.0825185782094900E-26
8.5500000000000000E-07,3.2696520582548100E-26
8.5600000000000000E-07,3.4664247190272900E-26
8.5700000000000000E-07,3.6684568323184400E-26
8.5800000000000000E-07,3.8952384420194600E-26
8.5900000000000000E-07,4.1715503007021200E-26
8.6000000000000000E-07,4.4786363965894400E-26
8.6100000000000000E-07,4.8081045814214600E-26
8.6200000000000000E-07,5.1413157210908700E-26
8.6300000000000000E-07,5.4699152109938400E-26
8.6400000000000000E-07,5.8215798672712300E-26
8.6500000000000000E-07,6.1980348170865700E-26
8.6600000000000000E-07,6.5926602328754600E-26
8.6700000000000000E-07,7.0023629058953500E-26
8.6800000000000000E-07,7.4000002539694100E-26
8.6900000000000000E-07,7.8291423864766900E-26
8.7000000000000000E-07,8.2972454106269000E-26
8.7100000000000000E-07,8.8082963430674600E-26
8.7200000000000000E-07,9.3344510190578200E-26
8.7300000000000000E-07,9.8779348730511100E-26
8.7400000000000000E-07,1.0427782457407000E-25
8.7500000000000000E-07,1.1021057245367600E-25
8.7600000000000000E-07,1.1625697515902300E-25
8.7700000000000000E-07,1.2250080929313400E-25
8.7800000000000000E-07,1.2870822891404300E-25
8.7900000000000000E-07,1.3511887306053900E-25
8.8000000000000000E-07,1.4174853407483900E-25
8.8100000000000000E-07,1.4839346778671400E-25
8.8200000000000000E-07,1.5613242022734100E-25
8.8300000000000000E-07,1.6437069513450500E-25
8.8400000000000000E-07,1.7230472071755400E-25
8.8500000000000000E-07,1.7966487947332900E-25
8.8600000000000000E-07,1.9545513844950900E-25
8.8700000000000000E-07,2.1003924532820900E-25
8.8800000000000000E-07,2.2166961951101000E-25
8.8900000000000000E-07,2.3294936754201300E-25
8.9000000000000000E-07,2.4361627559603500E-25
8.9100000000000000E-07,2.5359737531494400E-25
8.9200000000000000E-07,2.6183720511443300E-25
8.9300000000000000E-07,2.7026650553955700E-25
8.9400000000000000E-07,2.8125859834867800E-25
8.9500000000000000E-07,2.9465699546151400E-25
