Wavelength		Absorption cross section	Emission cross section			
m	nm	m2	m2			
9.2400000000000000E-07	9.2400000000000000E+02	5.2835062188310000E-25	3.0286928252424400E-26			
9.2500000000000000E-07	9.2500000000000000E+02	5.2878963120147700E-25	3.2105801084051000E-26			
9.2600000000000000E-07	9.2600000000000000E+02	5.2409306936458200E-25	3.3699436975661400E-26			
9.2700000000000000E-07	9.2700000000000000E+02	5.1363686287585800E-25	3.4972792458192600E-26			
9.2800000000000000E-07	9.2800000000000000E+02	5.0361735242732300E-25	3.6306228063684000E-26			
9.2900000000000000E-07	9.2900000000000000E+02	4.9225641065393800E-25	3.7568576719282500E-26			
9.3000000000000000E-07	9.3000000000000000E+02	4.7852742472430400E-25	3.8658044142616900E-26			
9.3100000000000000E-07	9.3100000000000000E+02	4.7033645600975600E-25	4.0215021996051300E-26			
9.3200000000000000E-07	9.3200000000000000E+02	4.6658317963542300E-25	4.2218468972788200E-26			
9.3300000000000000E-07	9.3300000000000000E+02	4.5983496401420300E-25	4.4026727463899000E-26			
9.3400000000000000E-07	9.3400000000000000E+02	4.4771272818033100E-25	4.5352613574002600E-26			
9.3500000000000000E-07	9.3500000000000000E+02	4.3616841578279500E-25	4.6740480606626800E-26			
9.3600000000000000E-07	9.3600000000000000E+02	4.2667481881045200E-25	4.8363735820079400E-26			
9.3700000000000000E-07	9.3700000000000000E+02	4.1753728096324900E-25	5.0055281398896400E-26			
9.3800000000000000E-07	9.3800000000000000E+02	4.0627464296731900E-25	5.1505582905909900E-26			
9.3900000000000000E-07	9.3900000000000000E+02	3.9467117302111900E-25	5.2905183133093800E-26			
9.4000000000000000E-07	9.4000000000000000E+02	3.8289398051162700E-25	5.4264778086655400E-26			
9.4100000000000000E-07	9.4100000000000000E+02	3.7150358271921300E-25	5.5658024891718300E-26			
9.4200000000000000E-07	9.4200000000000000E+02	3.6210492364661100E-25	5.7342059203317100E-26			
9.4300000000000000E-07	9.4300000000000000E+02	3.5529964365694300E-25	5.9464344869881700E-26			
9.4400000000000000E-07	9.4400000000000000E+02	3.4711287029812400E-25	6.1390998792245800E-26			
9.4500000000000000E-07	9.4500000000000000E+02	3.3573701169590900E-25	6.2741454715875500E-26			
9.4600000000000000E-07	9.4600000000000000E+02	3.2357083072050100E-25	6.3884505083359600E-26			
9.4700000000000000E-07	9.4700000000000000E+02	3.1139175817615400E-25	6.4946189912596200E-26			
9.4800000000000000E-07	9.4800000000000000E+02	3.0093930368727800E-25	6.6297265539759100E-26			
9.4900000000000000E-07	9.4900000000000000E+02	2.9488781953119100E-25	6.8610973779529900E-26			
9.5000000000000000E-07	9.5000000000000000E+02	2.9413109742310800E-25	7.2268293566990400E-26			
9.5100000000000000E-07	9.5100000000000000E+02	2.9500146791548800E-25	7.6533462520691300E-26			
9.5200000000000000E-07	9.5200000000000000E+02	2.9502210968221800E-25	8.0807645925709000E-26			
9.5300000000000000E-07	9.5300000000000000E+02	2.9253176216383900E-25	8.4584767056081400E-26			
9.5400000000000000E-07	9.5400000000000000E+02	2.8935261532988000E-25	8.8311745978814300E-26			
9.5500000000000000E-07	9.5500000000000000E+02	2.8849838757667800E-25	9.2930274941679900E-26			
9.5600000000000000E-07	9.5600000000000000E+02	2.9169295927240400E-25	9.9154755851464200E-26			
9.5700000000000000E-07	9.5700000000000000E+02	2.9489402405941000E-25	1.0577389523790300E-25			
9.5800000000000000E-07	9.5800000000000000E+02	2.9734422471332900E-25	1.1252480319500600E-25			
9.5900000000000000E-07	9.5900000000000000E+02	3.0164145493112600E-25	1.2042245222040700E-25			
9.6000000000000000E-07	9.6000000000000000E+02	3.0745499639075300E-25	1.2947242708002400E-25			
9.6100000000000000E-07	9.6100000000000000E+02	3.0993532110479700E-25	1.3765686073071700E-25			
9.6200000000000000E-07	9.6200000000000000E+02	3.0937669711340700E-25	1.4490966497051700E-25			
9.6300000000000000E-07	9.6300000000000000E+02	3.1240684201333700E-25	1.5429978317438000E-25			
9.6400000000000000E-07	9.6400000000000000E+02	3.1847493049770000E-25	1.6584686454418200E-25			
9.6500000000000000E-07	9.6500000000000000E+02	3.2610285659023100E-25	1.7903016410479000E-25			
9.6600000000000000E-07	9.6600000000000000E+02	3.3583162863193800E-25	1.9435033835416200E-25			
9.6700000000000000E-07	9.6700000000000000E+02	3.5008612992263300E-25	2.1354202778557400E-25			
9.6800000000000000E-07	9.6800000000000000E+02	3.7452905787927500E-25	2.4076398787670600E-25			
9.6900000000000000E-07	9.6900000000000000E+02	4.1726467742168800E-25	2.8266245760203800E-25			
9.7000000000000000E-07	9.7000000000000000E+02	5.1992977241599200E-25	3.7111181893885400E-25			
9.7100000000000000E-07	9.7100000000000000E+02	6.8518474187313300E-25	5.1525784056817300E-25			
9.7200000000000000E-07	9.7200000000000000E+02	9.1989430193990100E-25	7.2872733846418700E-25			
9.7300000000000000E-07	9.7300000000000000E+02	1.2731041760625300E-24	1.0623186580430700E-24			
9.7400000000000000E-07	9.7400000000000000E+02	1.7284340524259300E-24	1.5190115675223600E-24			
9.7500000000000000E-07	9.7500000000000000E+02	2.1483110577256700E-24	1.9882758712155200E-24			
9.7600000000000000E-07	9.7600000000000000E+02	2.3996331653954000E-24	2.3385652800493000E-24			
9.7700000000000000E-07	9.7700000000000000E+02	2.4249552333319100E-24	2.4882134012087900E-24			
9.7800000000000000E-07	9.7800000000000000E+02	2.2513400842179500E-24	2.4319715780176200E-24			
9.7900000000000000E-07	9.7900000000000000E+02	1.9288740011281400E-24	2.1933559520941700E-24			
9.8000000000000000E-07	9.8000000000000000E+02	1.5075538147290900E-24	1.8043486691465700E-24			
9.8100000000000000E-07	9.8100000000000000E+02	1.0639698289787800E-24	1.3402134978835100E-24			
9.8200000000000000E-07	9.8200000000000000E+02	7.0971336797519500E-25	9.4076139545504000E-25			
9.8300000000000000E-07	9.8300000000000000E+02	4.7322023346636500E-25	6.6003439105331000E-25			
9.8400000000000000E-07	9.8400000000000000E+02	3.3136772800395200E-25	4.8626755652136200E-25			
9.8500000000000000E-07	9.8500000000000000E+02	2.6224938560177300E-25	4.0485228374276800E-25			
9.8600000000000000E-07	9.8600000000000000E+02	2.2636168560224100E-25	3.6758468056027600E-25			
9.8700000000000000E-07	9.8700000000000000E+02	2.0691576223082700E-25	3.5340761732187200E-25			
9.8800000000000000E-07	9.8800000000000000E+02	1.8974366253967400E-25	3.4082627529494900E-25			
9.8900000000000000E-07	9.8900000000000000E+02	1.7593471899313000E-25	3.3232005060854200E-25			
9.9000000000000000E-07	9.9000000000000000E+02	1.6046179619808900E-25	3.1869241554193900E-25			
9.9100000000000000E-07	9.9100000000000000E+02	1.5299685812650800E-25	3.1947265422567100E-25			
9.9200000000000000E-07	9.9200000000000000E+02	1.4069807517091100E-25	3.0884927022343000E-25			
9.9300000000000000E-07	9.9300000000000000E+02	1.3314547907116400E-25	3.0721921377989100E-25			
9.9400000000000000E-07	9.9400000000000000E+02	1.2801624332466900E-25	3.1046093712633100E-25			
9.9500000000000000E-07	9.9500000000000000E+02	1.2347454066301600E-25	3.1469930540723500E-25			
9.9600000000000000E-07	9.9600000000000000E+02	1.1940512435333800E-25	3.1979707244914900E-25			
9.9700000000000000E-07	9.9700000000000000E+02	1.1545855927697900E-25	3.2491339035162300E-25			
9.9800000000000000E-07	9.9800000000000000E+02	1.1170899801728800E-25	3.3027562549737400E-25			
9.9900000000000000E-07	9.9900000000000000E+02	1.0818732430144400E-25	3.3602276562107300E-25			
1.0000000000000000E-06	1.0000000000000000E+03	1.0509570725967500E-25	3.4287707274079400E-25			
1.0010000000000000E-06	1.0010000000000000E+03	1.0224559916638100E-25	3.5036164780590400E-25			
1.0020000000000000E-06	1.0020000000000000E+03	9.9631986299709300E-26	3.5854745149950200E-25			
1.0030000000000000E-06	1.0030000000000000E+03	9.7398531291497400E-26	3.6807282131715800E-25			
1.0040000000000000E-06	1.0040000000000000E+03	9.5550761584773300E-26	3.7914618286058800E-25			
1.0050000000000000E-06	1.0050000000000000E+03	9.3997276197126000E-26	3.9159471828522200E-25			
1.0060000000000000E-06	1.0060000000000000E+03	9.2189865926526000E-26	4.0319182283513000E-25			
1.0070000000000000E-06	1.0070000000000000E+03	9.0188585859268400E-26	4.1404273118118000E-25			
1.0080000000000000E-06	1.0080000000000000E+03	8.8256475504110200E-26	4.2526870710578200E-25			
1.0090000000000000E-06	1.0090000000000000E+03	8.6612349607997900E-26	4.3800417988589600E-25			
1.0100000000000000E-06	1.0100000000000000E+03	8.5089973540801000E-26	4.5156145490067100E-25			
1.0110000000000000E-06	1.0110000000000000E+03	8.3323698296399900E-26	4.6398680336989300E-25			
1.0120000000000000E-06	1.0120000000000000E+03	8.1289392914579800E-26	4.7492855831185500E-25			
1.0130000000000000E-06	1.0130000000000000E+03	7.9469284774151500E-26	4.8709070755370500E-25			
1.0140000000000000E-06	1.0140000000000000E+03	7.7843500857175900E-26	5.0050448872075100E-25			
1.0150000000000000E-06	1.0150000000000000E+03	7.6257981552135700E-26	5.1428642955801400E-25			
1.0160000000000000E-06	1.0160000000000000E+03	7.4287286472291200E-26	5.2544538256409600E-25			
1.0170000000000000E-06	1.0170000000000000E+03	7.1970240943444600E-26	5.3384929424180500E-25			
1.0180000000000000E-06	1.0180000000000000E+03	6.9511799206388300E-26	5.4067501673077100E-25			
1.0190000000000000E-06	1.0190000000000000E+03	6.7127181620031900E-26	5.4745419371099500E-25			
1.0200000000000000E-06	1.0200000000000000E+03	6.4776855748521700E-26	5.5386063802631800E-25			
1.0210000000000000E-06	1.0210000000000000E+03	6.2375913514115400E-26	5.5909885587531900E-25			
1.0220000000000000E-06	1.0220000000000000E+03	5.9858943476279800E-26	5.6240824416572000E-25			
1.0230000000000000E-06	1.0230000000000000E+03	5.7252420321826500E-26	5.6380308301378000E-25			
1.0240000000000000E-06	1.0240000000000000E+03	5.4657219645416700E-26	5.6409497407080500E-25			
1.0250000000000000E-06	1.0250000000000000E+03	5.2014506028552900E-26	5.6254921572325400E-25			
1.0260000000000000E-06	1.0260000000000000E+03	4.9363761574345600E-26	5.5941745031142500E-25			
1.0270000000000000E-06	1.0270000000000000E+03	4.6721565796057400E-26	5.5475005554083200E-25			
1.0280000000000000E-06	1.0280000000000000E+03	4.3997598804121900E-26	5.4729532868116900E-25			
1.0290000000000000E-06	1.0290000000000000E+03	4.1153921113468900E-26	5.3626258985666100E-25			
1.0300000000000000E-06	1.0300000000000000E+03	3.8193825522416200E-26	5.2130727161268600E-25			
1.0310000000000000E-06	1.0310000000000000E+03	3.5372738310038100E-26	5.0566697263658100E-25			
1.0320000000000000E-06	1.0320000000000000E+03	3.2930322428105800E-26	4.9300148903642700E-25			
1.0330000000000000E-06	1.0330000000000000E+03	3.0699746359151600E-26	4.8128745797183800E-25			
1.0340000000000000E-06	1.0340000000000000E+03	2.8619274518589400E-26	4.6979367775789300E-25			
1.0350000000000000E-06	1.0350000000000000E+03	2.6678767986920900E-26	4.5851600712723000E-25			
1.0360000000000000E-06	1.0360000000000000E+03	2.4868778986086800E-26	4.4745038268008700E-25			
1.0370000000000000E-06	1.0370000000000000E+03	2.3180503189956700E-26	4.3659281742012300E-25			
1.0380000000000000E-06	1.0380000000000000E+03	2.1605735371373400E-26	4.2593939931779600E-25			
1.0390000000000000E-06	1.0390000000000000E+03	2.0136828148826600E-26	4.1548628990074300E-25			
1.0400000000000000E-06	1.0400000000000000E+03	1.8766653612917300E-26	4.0522972287064800E-25			
1.0410000000000000E-06	1.0410000000000000E+03	1.7488567628604300E-26	3.9516600274614800E-25			
1.0420000000000000E-06	1.0420000000000000E+03	1.6296376623899400E-26	3.8529150353123900E-25			
1.0430000000000000E-06	1.0430000000000000E+03	1.5184306689280000E-26	3.7560266740873400E-25			
1.0440000000000000E-06	1.0440000000000000E+03	1.4146974824697300E-26	3.6609600345827100E-25			
1.0450000000000000E-06	1.0450000000000000E+03	1.3179362182749900E-26	3.5676808639844500E-25			
1.0460000000000000E-06	1.0460000000000000E+03	1.2276789167432000E-26	3.4761555535257600E-25			
1.0470000000000000E-06	1.0470000000000000E+03	1.1434892257917100E-26	3.3863511263771300E-25			
1.0480000000000000E-06	1.0480000000000000E+03	1.0649602436160500E-26	3.2982352257637000E-25			
1.0490000000000000E-06	1.0490000000000000E+03	9.9171251057506600E-27	3.2117761033064300E-25			
1.0500000000000000E-06	1.0500000000000000E+03	9.2339213974576700E-27	3.1269426075822000E-25			
1.0510000000000000E-06	1.0510000000000000E+03	8.5966907643691400E-27	3.0437041728993100E-25			
1.0520000000000000E-06	1.0520000000000000E+03	8.0023547764032100E-27	2.9620308082837400E-25			
1.0530000000000000E-06	1.0530000000000000E+03	7.4480420303950300E-27	2.8818930866728000E-25			
1.0540000000000000E-06	1.0540000000000000E+03	6.9310740978940300E-27	2.8032621343117200E-25			
1.0550000000000000E-06	1.0550000000000000E+03	6.4489524383244500E-27	2.7261096203498400E-25			
1.0560000000000000E-06	1.0560000000000000E+03	5.9993462102795800E-27	2.6504077466322800E-25			
1.0570000000000000E-06	1.0570000000000000E+03	5.5800809184709700E-27	2.5761292376836400E-25			
1.0580000000000000E-06	1.0580000000000000E+03	5.1891278382636200E-27	2.5032473308799600E-25			
1.0590000000000000E-06	1.0590000000000000E+03	4.8245941638217800E-27	2.4317357668056700E-25			
1.0600000000000000E-06	1.0600000000000000E+03	4.4847138296909600E-27	2.3615687797915900E-25			
1.0610000000000000E-06	1.0610000000000000E+03	4.1678389591711900E-27	2.2927210886311100E-25			
1.0620000000000000E-06	1.0620000000000000E+03	3.8724318961135900E-27	2.2251678874707300E-25			
1.0630000000000000E-06	1.0630000000000000E+03	3.5970577798157500E-27	2.1588848368721000E-25			
1.0640000000000000E-06	1.0640000000000000E+03	3.3403776255184300E-27	2.0938480550418900E-25			
1.0650000000000000E-06	1.0650000000000000E+03	3.1011418756315400E-27	2.0300341092267600E-25			
1.0660000000000000E-06	1.0660000000000000E+03	2.8781843892567100E-27	1.9674200072700600E-25			
1.0670000000000000E-06	1.0670000000000000E+03	2.6704168398392000E-27	1.9059831893272900E-25			
1.0680000000000000E-06	1.0680000000000000E+03	2.4768234928878600E-27	1.8457015197373100E-25			
1.0690000000000000E-06	1.0690000000000000E+03	2.2964563376575100E-27	1.7865532790465200E-25			
1.0700000000000000E-06	1.0700000000000000E+03	2.1284305485063700E-27	1.7285171561828200E-25			
1.0710000000000000E-06	1.0710000000000000E+03	1.9719202533303000E-27	1.6715722407769500E-25			
1.0720000000000000E-06	1.0720000000000000E+03	1.8261545880459700E-27	1.6156980156280300E-25			
1.0730000000000000E-06	1.0730000000000000E+03	1.6904140175546000E-27	1.5608743493108300E-25			
1.0740000000000000E-06	1.0740000000000000E+03	1.5640269049744900E-27	1.5070814889221200E-25			
1.0750000000000000E-06	1.0750000000000000E+03	1.4463663121922100E-27	1.4543000529633500E-25			
1.0760000000000000E-06	1.0760000000000000E+03	1.3368470159545100E-27	1.4025110243571000E-25			
1.0770000000000000E-06	1.0770000000000000E+03	1.2349227248141400E-27	1.3516957435949900E-25			
1.0780000000000000E-06	1.0780000000000000E+03	1.1400834832560100E-27	1.3018359020142900E-25			
1.0790000000000000E-06	1.0790000000000000E+03	1.0518532502737600E-27	1.2529135352010800E-25			
1.0800000000000000E-06	1.0800000000000000E+03	9.6978764054333700E-28	1.2049110165173300E-25			
1.0810000000000000E-06	1.0810000000000000E+03	8.9347181715634300E-28	1.1578110507497800E-25			
1.0820000000000000E-06	1.0820000000000000E+03	8.2251852563444900E-28	1.1115966678781900E-25			
1.0830000000000000E-06	1.0830000000000000E+03	7.5656625965238400E-28	1.0662512169608300E-25			
1.0840000000000000E-06	1.0840000000000000E+03	6.9527754955351600E-28	1.0217583601348700E-25			
1.0850000000000000E-06	1.0850000000000000E+03	6.3833736535338000E-28	9.7810206672959800E-26			
1.0860000000000000E-06	1.0860000000000000E+03	5.8545162649503200E-28	9.3526660749039100E-26			
1.0870000000000000E-06	1.0870000000000000E+03	5.3634581114928500E-28	8.9323654891123200E-26			
1.0880000000000000E-06	1.0880000000000000E+03	4.9076365834537900E-28	8.5199674767380300E-26			
1.0890000000000000E-06	1.0890000000000000E+03	4.4846595667603800E-28	8.1153234519114800E-26			
1.0900000000000000E-06	1.0900000000000000E+03	4.0922941374749300E-28	7.7182876225393800E-26			
1.0910000000000000E-06	1.0910000000000000E+03	3.7284560094226500E-28	7.3287169377741200E-26			
1.0920000000000000E-06	1.0920000000000000E+03	3.3911996843216600E-28	6.9464710364706400E-26			
1.0930000000000000E-06	1.0930000000000000E+03	3.0787092572337300E-28	6.5714121966125900E-26			
1.0940000000000000E-06	1.0940000000000000E+03	2.7892898333583900E-28	6.2034052856896100E-26			
1.0950000000000000E-06	1.0950000000000000E+03	2.5213595151785100E-28	5.8423177120076000E-26			
1.0960000000000000E-06	1.0960000000000000E+03	2.2734419217445900E-28	5.4880193769142700E-26			
1.0970000000000000E-06	1.0970000000000000E+03	2.0441592044740500E-28	5.1403826279232600E-26			
1.0980000000000000E-06	1.0980000000000000E+03	1.8322255262525900E-28	4.7992822127195700E-26			
1.0990000000000000E-06	1.0990000000000000E+03	1.6364409728704900E-28	4.4645952340300400E-26			
1.1000000000000000E-06	1.1000000000000000E+03	1.4556858679187800E-28	4.1362011053420100E-26			
1.1010000000000000E-06	1.1010000000000000E+03	1.2889154642190800E-28	3.8139815074548800E-26			
1.1020000000000000E-06	1.1020000000000000E+03	1.1351549866767500E-28	3.4978203458485800E-26			
1.1030000000000000E-06	1.1030000000000000E+03	9.9349500313865700E-29	3.1876037088537800E-26			
1.1040000000000000E-06	1.1040000000000000E+03	8.6308710141315000E-29	2.8832198266083000E-26			
1.1050000000000000E-06	1.1050000000000000E+03	7.4313985207918100E-29	2.5845590307855100E-26			
1.1060000000000000E-06	1.1060000000000000E+03	6.3291503808014500E-29	2.2915137150799100E-26			
1.1070000000000000E-06	1.1070000000000000E+03	5.3172413337418200E-29	2.0039782964358200E-26			
1.1080000000000000E-06	1.1080000000000000E+03	4.3892501410172300E-29	1.7218491770048000E-26			
1.1090000000000000E-06	1.1090000000000000E+03	3.5391888683978300E-29	1.4450247068185600E-26			
1.1100000000000000E-06	1.1100000000000000E+03	2.7614741954572000E-29	1.1734051471638100E-26			
1.1110000000000000E-06	1.1110000000000000E+03	2.0509006175664400E-29	9.0689263464566700E-27			
1.1120000000000000E-06	1.1120000000000000E+03	1.4026154150867200E-29	6.4539114592678900E-27			
1.1130000000000000E-06	1.1130000000000000E+03	8.1209527277881000E-30	3.8880646312945500E-27			
1.1140000000000000E-06	1.1140000000000000E+03	2.7512444025523500E-30	1.3704613988831100E-27			
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
