wavelength (m),emission cross section (m2)
8.5000000000000000E-07,1.2952496095023800E-29
8.5100000000000000E-07,1.5000790453689300E-29
8.5200000000000000E-07,1.7302340782642300E-29
8.5300000000000000E-07,1.9788960143032300E-29
8.5400000000000000E-07,2.2605047415156800E-29
8.5500000000000000E-07,2.5646436879204100E-29
8.5600000000000000E-07,2.9078015394312800E-29
8.5700000000000000E-07,3.2904541921089900E-29
8.5800000000000000E-07,3.7353226668239700E-29
8.5900000000000000E-07,4.2760781030810400E-29
8.6000000000000000E-07,4.9066003241213100E-29
8.6100000000000000E-07,5.6289632948209800E-29
8.6200000000000000E-07,6.4310450478792400E-29
8.6300000000000000E-07,7.3092699855570300E-29
8.6400000000000000E-07,8.3091002404767200E-29
8.6500000000000000E-07,9.4475827789767600E-29
8.6600000000000000E-07,1.0730377497009900E-28
8.6700000000000000E-07,1.2168045324852800E-28
8.6800000000000000E-07,1.3726643272761100E-28
8.6900000000000000E-07,1.5500223165775100E-28
8.7000000000000000E-07,1.7530076229460300E-28
8.7100000000000000E-07,1.9856517505172500E-28
8.7200000000000000E-07,2.2448982068220100E-28
8.7300000000000000E-07,2.5339985877568700E-28
8.7400000000000000E-07,2.8529907488738700E-28
8.7500000000000000E-07,3.2154067775724100E-28
8.7600000000000000E-07,3.6163648467277900E-28
8.7700000000000000E-07,4.0622742755995500E-28
8.7800000000000000E-07,4.5493608969238900E-28
8.7900000000000000E-07,5.0899184522511400E-28
8.8000000000000000E-07,5.6898560276762300E-28
8.8100000000000000E-07,6.3463314136022000E-28
8.8200000000000000E-07,7.1131817040636700E-28
8.8300000000000000E-07,7.9761965316574100E-28
8.8400000000000000E-07,8.9044537375058600E-28
8.8500000000000000E-07,9.8866728828246700E-28
8.8600000000000000E-07,1.1451156836323100E-27
8.8700000000000000E-07,1.3099558259349100E-27
8.8800000000000000E-07,1.4714826672801100E-27
8.8900000000000000E-07,1.6456684121415000E-27
8.9000000000000000E-07,1.8312944263945500E-27
8.9100000000000000E-07,2.0281831213439900E-27
8.9200000000000000E-07,2.2276346496846600E-27
8.9300000000000000E-07,2.4456533382598000E-27
8.9400000000000000E-07,2.7066905676370500E-27
8.9500000000000000E-07,3.0152265990844300E-27
8.9600000000000000E-07,3.3694619233071700E-27
8.9700000000000000E-07,3.7557472883613200E-27
8.9800000000000000E-07,4.1535404525648800E-27
8.9900000000000000E-07,4.5621092215514600E-27
9.0000000000000000E-07,4.9963135434571700E-27
9.0100000000000000E-07,5.4877437326643200E-27
9.0200000000000000E-07,6.0425827490253100E-27
9.0300000000000000E-07,6.6384518083547200E-27
9.0400000000000000E-07,7.2884553577953500E-27
9.0500000000000000E-07,8.0495991266841600E-27
9.0600000000000000E-07,8.8725648771807600E-27
9.0700000000000000E-07,9.6719143448726000E-27
9.0800000000000000E-07,1.0501400885357500E-26
9.0900000000000000E-07,1.1386717852244500E-26
9.1000000000000000E-07,1.2280521409608800E-26
9.1100000000000000E-07,1.3233666808640700E-26
9.1200000000000000E-07,1.4376988713091100E-26
9.1300000000000000E-07,1.5630396794146600E-26
9.1400000000000000E-07,1.6921119160390300E-26
9.1500000000000000E-07,1.8115524674219600E-26
9.1600000000000000E-07,1.9258423048106000E-26
9.1700000000000000E-07,2.0447964306862300E-26
9.1800000000000000E-07,2.1947535232511700E-26
9.1900000000000000E-07,2.3478614334408700E-26
9.2000000000000000E-07,2.4943303856594000E-26
9.2100000000000000E-07,2.6318894640509500E-26
9.2200000000000000E-07,2.7676985890618100E-26
9.2300000000000000E-07,2.8835854827775700E-26
9.2400000000000000E-07,3.0286928252424400E-26
9.2500000000000000E-07,3.2105801084051000E-26
9.2600000000000000E-07,3.3699436975661400E-26
9.2700000000000000E-07,3.4972792458192600E-26
9.2800000000000000E-07,3.6306228063684000E-26
9.2900000000000000E-07,3.7568576719282500E-26
9.3000000000000000E-07,3.8658044142616900E-26
9.3100000000000000E-07,4.0215021996051300E-26
9.3200000000000000E-07,4.2218468972788200E-26
9.3300000000000000E-07,4.4026727463899000E-26
9.3400000000000000E-07,4.5352613574002600E-26
9.3500000000000000E-07,4.6740480606626800E-26
9.3600000000000000E-07,4.8363735820079400E-26
9.3700000000000000E-07,5.0055281398896400E-26
9.3800000000000000E-07,5.1505582905909900E-26
9.3900000000000000E-07,5.2905183133093800E-26
9.4000000000000000E-07,5.4264778086655400E-26
9.4100000000000000E-07,5.5658024891718300E-26
9.4200000000000000E-07,5.7342059203317100E-26
9.4300000000000000E-07,5.9464344869881700E-26
9.4400000000000000E-07,6.1390998792245800E-26
9.4500000000000000E-07,6.2741454715875500E-26
9.4600000000000000E-07,6.3884505083359600E-26
9.4700000000000000E-07,6.4946189912596200E-26
9.4800000000000000E-07,6.6297265539759100E-26
9.4900000000000000E-07,6.8610973779529900E-26
9.5000000000000000E-07,7.2268293566990400E-26
9.5100000000000000E-07,7.6533462520691300E-26
9.5200000000000000E-07,8.0807645925709000E-26
9.5300000000000000E-07,8.4584767056081400E-26
9.5400000000000000E-07,8.8311745978814300E-26
9.5500000000000000E-07,9.2930274941679900E-26
9.5600000000000000E-07,9.9154755851464200E-26
9.5700000000000000E-07,1.0577389523790300E-25
9.5800000000000000E-07,1.1252480319500600E-25
9.5900000000000000E-07,1.2042245222040700E-25
9.6000000000000000E-07,1.2947242708002400E-25
9.6100000000000000E-07,1.3765686073071700E-25
9.6200000000000000E-07,1.4490966497051700E-25
9.6300000000000000E-07,1.5429978317438000E-25
9.6400000000000000E-07,1.6584686454418200E-25
9.6500000000000000E-07,1.7903016410479000E-25
9.6600000000000000E-07,1.9435033835416200E-25
9.6700000000000000E-07,2.1354202778557400E-25
9.6800000000000000E-07,2.4076398787670600E-25
9.6900000000000000E-07,2.8266245760203800E-25
9.7000000000000000E-07,3.7111181893885400E-25
9.7100000000000000E-07,5.1525784056817300E-25
9.7200000000000000E-07,7.2872733846418700E-25
9.7300000000000000E-07,1.0623186580430700E-24
9.7400000000000000E-07,1.5190115675223600E-24
9.7500000000000000E-07,1.9882758712155200E-24
9.7600000000000000E-07,2.3385652800493000E-24
9.7700000000000000E-07,2.4882134012087900E-24
9.7800000000000000E-07,2.4319715780176200E-24
9.7900000000000000E-07,2.1933559520941700E-24
9.8000000000000000E-07,1.8043486691465700E-24
9.8100000000000000E-07,1.3402134978835100E-24
9.8200000000000000E-07,9.4076139545504000E-25
9.8300000000000000E-07,6.6003439105331000E-25
9.8400000000000000E-07,4.8626755652136200E-25
9.8500000000000000E-07,4.0485228374276800E-25
9.8600000000000000E-07,3.6758468056027600E-25
9.8700000000000000E-07,3.5340761732187200E-25
9.8800000000000000E-07,3.4082627529494900E-25
9.8900000000000000E-07,3.3232005060854200E-25
9.9000000000000000E-07,3.1869241554193900E-25
9.9100000000000000E-07,3.1947265422567100E-25
9.9200000000000000E-07,3.0884927022343000E-25
9.9300000000000000E-07,3.0721921377989100E-25
9.9400000000000000E-07,3.1046093712633100E-25
9.9500000000000000E-07,3.1469930540723500E-25
9.9600000000000000E-07,3.1979707244914900E-25
9.9700000000000000E-07,3.2491339035162300E-25
9.9800000000000000E-07,3.3027562549737400E-25
9.9900000000000000E-07,3.3602276562107300E-25
1.0000000000000000E-06,3.4287707274079400E-25
1.0010000000000000E-06,3.5036164780590400E-25
1.0020000000000000E-06,3.5854745149950200E-25
1.0030000000000000E-06,3.6807282131715800E-25
1.0040000000000000E-06,3.7914618286058800E-25
1.0050000000000000E-06,3.9159471828522200E-25
1.0060000000000000E-06,4.0319182283513000E-25
1.0070000000000000E-06,4.1404273118118000E-25
1.0080000000000000E-06,4.2526870710578200E-25
1.0090000000000000E-06,4.3800417988589600E-25
1.0100000000000000E-06,4.5156145490067100E-25
1.0110000000000000E-06,4.6398680336989300E-25
1.0120000000000000E-06,4.7492855831185500E-25
1.0130000000000000E-06,4.8709070755370500E-25
1.0140000000000000E-06,5.0050448872075100E-25
1.0150000000000000E-06,5.1428642955801400E-25
1.0160000000000000E-06,5.2544538256409600E-25
1.0170000000000000E-06,5.3384929424180500E-25
1.0180000000000000E-06,5.4067501673077100E-25
1.0190000000000000E-06,5.4745419371099500E-25
1.0200000000000000E-06,5.5386063802631800E-25
1.0210000000000000E-06,5.5909885587531900E-25
1.0220000000000000E-06,5.6240824416572000E-25
1.0230000000000000E-06,5.6380308301378000E-25
1.0240000000000000E-06,5.6409497407080500E-25
1.0250000000000000E-06,5.6254921572325400E-25
1.0260000000000000E-06,5.5941745031142500E-25
1.0270000000000000E-06,5.5475005554083200E-25
1.0280000000000000E-06,5.4729532868116900E-25
1.0290000000000000E-06,5.3626258985666100E-25
1.0300000000000000E-06,5.2130727161268600E-25
1.0310000000000000E-06,5.0566697263658100E-25
1.0320000000000000E-06,4.9300148903642700E-25
1.0330000000000000E-06,4.8128745797183800E-25
1.0340000000000000E-06,4.6979367775789300E-25
1.0350000000000000E-06,4.5851600712723000E-25
1.0360000000000000E-06,4.4745038268008700E-25
1.0370000000000000E-06,4.3659281742012300E-25
1.0380000000000000E-06,4.2593939931779600E-25
1.0390000000000000E-06,4.1548628990074300E-25
1.0400000000000000E-06,4.0522972287064800E-25
1.0410000000000000E-06,3.9516600274614800E-25
1.0420000000000000E-06,3.8529150353123900E-25
1.0430000000000000E-06,3.7560266740873400E-25
1.0440000000000000E-06,3.6609600345827100E-25
1.0450000000000000E-06,3.5676808639844500E-25
1.0460000000000000E-06,3.4761555535257600E-25
1.0470000000000000E-06,3.3863511263771300E-25
1.0480000000000000E-06,3.2982352257637000E-25
1.0490000000000000E-06,3.2117761033064300E-25
1.0500000000000000E-06,3.1269426075822000E-25
1.0510000000000000E-06,3.0437041728993100E-25
1.0520000000000000E-06,2.9620308082837400E-25
1.0530000000000000E-06,2.8818930866728000E-25
1.0540000000000000E-06,2.8032621343117200E-25
1.0550000000000000E-06,2.7261096203498400E-25
1.0560000000000000E-06,2.6504077466322800E-25
1.0570000000000000E-06,2.5761292376836400E-25
1.0580000000000000E-06,2.5032473308799600E-25
1.0590000000000000E-06,2.4317357668056700E-25
1.0600000000000000E-06,2.3615687797915900E-25
1.0610000000000000E-06,2.2927210886311100E-25
1.0620000000000000E-06,2.2251678874707300E-25
1.0630000000000000E-06,2.1588848368721000E-25
1.0640000000000000E-06,2.0938480550418900E-25
1.0650000000000000E-06,2.0300341092267600E-25
1.0660000000000000E-06,1.9674200072700600E-25
1.0670000000000000E-06,1.9059831893272900E-25
1.0680000000000000E-06,1.8457015197373100E-25
1.0690000000000000E-06,1.7865532790465200E-25
1.0700000000000000E-06,1.7285171561828200E-25
1.0710000000000000E-06,1.6715722407769500E-25
1.0720000000000000E-06,1.6156980156280300E-25
1.0730000000000000E-06,1.5608743493108300E-25
1.0740000000000000E-06,1.5070814889221200E-25
1.0750000000000000E-06,1.4543000529633500E-25
1.0760000000000000E-06,1.4025110243571000E-25
1.0770000000000000E-06,1.3516957435949900E-25
1.0780000000000000E-06,1.3018359020142900E-25
1.0790000000000000E-06,1.2529135352010800E-25
1.0800000000000000E-06,1.2049110165173300E-25
1.0810000000000000E-06,1.1578110507497800E-25
1.0820000000000000E-06,1.1115966678781900E-25
1.0830000000000000E-06,1.0662512169608300E-25
1.0840000000000000E-06,1.0217583601348700E-25
1.0850000000000000E-06,9.7810206672959800E-26
1.0860000000000000E-06,9.3526660749039100E-26
1.0870000000000000E-06,8.9323654891123200E-26
1.0880000000000000E-06,8.5199674767380300E-26
1.0890000000000000E-06,8.1153234519114800E-26
1.0900000000000000E-06,7.7182876225393800E-26
1.0910000000000000E-06,7.3287169377741200E-26
1.0920000000000000E-06,6.9464710364706400E-26
1.0930000000000000E-06,6.5714121966125900E-26
1.0940000000000000E-06,6.2034052856896100E-26
1.0950000000000000E-06,5.8423177120076000E-26
1.0960000000000000E-06,5.4880193769142700E-26
1.0970000000000000E-06,5.1403826279232600E-26
1.0980000000000000E-06,4.7992822127195700E-26
1.0990000000000000E-06,4.4645952340300400E-26
1.1000000000000000E-06,4.1362011053420100E-26
1.1010000000000000E-06,3.8139815074548800E-26
1.1020000000000000E-06,3.4978203458485800E-26
1.1030000000000000E-06,3.1876037088537800E-26
1.1040000000000000E-06,2.8832198266083000E-26
1.1050000000000000E-06,2.5845590307855100E-26
1.1060000000000000E-06,2.2915137150799100E-26
1.1070000000000000E-06,2.0039782964358200E-26
1.1080000000000000E-06,1.7218491770048000E-26
1.1090000000000000E-06,1.4450247068185600E-26
1.1100000000000000E-06,1.1734051471638100E-26
1.1110000000000000E-06,9.0689263464566700E-27
1.1120000000000000E-06,6.4539114592678900E-27
1.1130000000000000E-06,3.8880646312945500E-27
1.1140000000000000E-06,1.3704613988831100E-27
